YEAR,BY YEAR NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND
2026,2288,1207,Duke,1,1,64
2026,2287,1168,Siena,16,64,64
2026,2286,1176,Ohio St.,8,1,64
2026,2285,1164,TCU,9,64,64
2026,2284,1165,St. John's,5,1,64
2026,2283,1177,Northern Iowa,12,64,64
2026,2282,1193,Kansas,4,1,64
2026,2281,1210,Cal Baptist,13,64,64
2026,2280,1188,Louisville,6,1,64
2026,2279,1166,South Florida,11,64,64
2026,2278,1183,Michigan St.,3,1,64
2026,2277,1178,North Dakota St.,14,64,64
2026,2276,1156,UCLA,7,1,64
2026,2275,1157,UCF,10,64,64
2026,2274,1208,Connecticut,2,1,64
2026,2273,1205,Furman,15,64,64
2026,2272,1206,Florida,1,1,64
2026,2269,1174,Prairie View A&M,16,64,64
2026,2268,1209,Clemson,8,1,64
2026,2267,1195,Iowa,9,64,64
2026,2266,1153,Vanderbilt,5,1,64
2026,2265,1187,McNeese St.,12,64,64
2026,2264,1181,Nebraska,4,1,64
2026,2263,1158,Troy,13,64,64
2026,2262,1180,North Carolina,6,1,64
2026,2261,1152,VCU,11,64,64
2026,2260,1196,Illinois,3,1,64
2026,2259,1175,Penn,14,64,64
2026,2258,1170,Saint Mary's,7,1,64
2026,2257,1160,Texas A&M,10,64,64
2026,2256,1199,Houston,2,1,64
2026,2255,1197,Idaho,15,64,64
2026,2254,1213,Arizona,1,1,64
2026,2253,1189,LIU Brooklyn,16,64,64
2026,2252,1151,Villanova,8,1,64
2026,2251,1154,Utah St.,9,64,64
2026,2250,1149,Wisconsin,5,1,64
2026,2249,1201,High Point,12,64,64
2026,2248,1212,Arkansas,4,1,64
2026,2247,1202,Hawaii,13,64,64
2026,2246,1211,BYU,6,1,64
2026,2243,1161,Texas,11,64,64
2026,2242,1203,Gonzaga,3,1,64
2026,2241,1192,Kennesaw St.,14,64,64
2026,2240,1186,Miami FL,7,1,64
2026,2239,1182,Missouri,10,64,64
2026,2238,1173,Purdue,2,1,64
2026,2237,1172,Queens,15,64,64
2026,2236,1184,Michigan,1,1,64
2026,2235,1198,Howard,16,64,64
2026,2232,1204,Georgia,8,1,64
2026,2231,1171,Saint Louis,9,64,64
2026,2230,1159,Texas Tech,5,1,64
2026,2229,1215,Akron,12,64,64
2026,2228,1214,Alabama,4,1,64
2026,2227,1200,Hofstra,13,64,64
2026,2226,1163,Tennessee,6,1,64
2026,2223,256,Miami OH,11,64,64
2026,2222,1150,Virginia,3,1,64
2026,2221,1148,Wright St.,14,64,64
2026,2220,1191,Kentucky,7,1,64
2026,2219,1169,Santa Clara,10,64,64
2026,2218,1194,Iowa St.,2,1,64
2026,2217,1162,Tennessee St.,15,64,64